timestamp,evaluation_id,human_choice,human_id
30/09/2025 06:59:16,CG019_3_General Knowledge_minimum_gemini-1.5-pro-latest_vs_sabia-3.1_pt,B,user-1759226290086-spowi1b0l
30/09/2025 06:59:31,CG006_4_General Knowledge_contextual_gemini-1.5-pro-latest_vs_llama-3.3-70b-versatile_pt,A,user-1759226290086-spowi1b0l
30/09/2025 06:59:55,CG010_3_General Knowledge_sabia-3.1_detailed_vs_structured_pt,A,user-1759226290086-spowi1b0l
30/09/2025 07:00:10,CG015_4_General Knowledge_gpt-4o_contextual_vs_structured_pt,A,user-1759226290086-spowi1b0l
30/09/2025 07:00:19,CG006_1_General Knowledge_gemini-1.5-pro-latest_contextual_vs_detailed_pt,A,user-1759226290086-spowi1b0l
30/09/2025 07:00:26,CG011_5_General Knowledge_gpt-4o_contextual_vs_structured_pt,B,user-1759226290086-spowi1b0l
30/09/2025 07:00:36,CG002_1_General Knowledge_minimum_gemini-1.5-pro-latest_vs_llama-3.3-70b-versatile_pt,Empate,user-1759226290086-spowi1b0l
30/09/2025 07:00:45,CG006_1_General Knowledge_detailed_gemini-1.5-pro-latest_vs_sabia-3.1_pt,A,user-1759226290086-spowi1b0l
30/09/2025 07:00:53,CG002_5_General Knowledge_minimum_gemini-1.5-pro-latest_vs_gpt-4o_pt,A,user-1759226290086-spowi1b0l
30/09/2025 07:00:56,CG013_5_General Knowledge_sabia-3.1_minimum_vs_structured_pt,B,user-1759226290086-spowi1b0l
30/09/2025 10:53:53,TC008_3_Technical_gpt-4o_contextual_vs_detailed_pt,A,user-1759240312224-9awp9zuh0
30/09/2025 10:54:23,CG015_4_General Knowledge_gpt-4o_contextual_vs_structured_pt,A,user-1759240312224-9awp9zuh0
30/09/2025 10:55:23,CG006_4_General Knowledge_contextual_gemini-1.5-pro-latest_vs_llama-3.3-70b-versatile_pt,Empate,user-1759240312224-9awp9zuh0
30/09/2025 10:56:30,CR006_4_Creative_gpt-4o_contextual_vs_detailed_pt,B,user-1759240312224-9awp9zuh0
30/09/2025 10:57:14,CR006_1_Creative_gemini-1.5-pro-latest_detailed_vs_structured_pt,A,user-1759240312224-9awp9zuh0
30/09/2025 10:58:00,CG006_1_General Knowledge_gemini-1.5-pro-latest_contextual_vs_detailed_pt,B,user-1759240312224-9awp9zuh0
30/09/2025 10:58:43,TC014_5_Technical_structured_gemini-1.5-pro-latest_vs_sabia-3.1_pt,B,user-1759240312224-9awp9zuh0
30/09/2025 10:59:07,CG009_2_General Knowledge_sabia-3.1_detailed_vs_structured_pt,B,user-1759240312224-9awp9zuh0
30/09/2025 11:00:09,TC004_5_Technical_minimum_gemini-1.5-pro-latest_vs_llama-3.3-70b-versatile_pt,A,user-1759240312224-9awp9zuh0
30/09/2025 11:00:35,TC008_3_Technical_detailed_gpt-4o_vs_llama-3.3-70b-versatile_pt,A,user-1759240312224-9awp9zuh0
30/09/2025 13:48:23,CG013_5_General Knowledge_sabia-3.1_minimum_vs_structured_pt,B,user-1759250067024-6ei2inpk3
30/09/2025 15:10:41,CR007_5_Creative_gpt-4o_minimum_vs_contextual_pt,B,user-1759250067024-6ei2inpk3
30/09/2025 15:12:29,CR010_5_Creative_minimum_gpt-4o_vs_llama-3.3-70b-versatile_pt,B,user-1759250067024-6ei2inpk3
30/09/2025 15:15:53,CR013_4_Creative_gpt-4o_minimum_vs_detailed_pt,A,user-1759250067024-6ei2inpk3
30/09/2025 15:17:09,CR020_4_Creative_detailed_gemini-1.5-pro-latest_vs_gpt-4o_pt,Empate,user-1759256135958-qbywazpir
30/09/2025 15:17:52,CR015_1_Creative_contextual_gpt-4o_vs_llama-3.3-70b-versatile_pt,A,user-1759256135958-qbywazpir
30/09/2025 15:18:36,CG002_1_General Knowledge_minimum_gemini-1.5-pro-latest_vs_llama-3.3-70b-versatile_pt,Empate,user-1759256148510-utx3pkrzl
30/09/2025 15:18:39,TC013_4_Technical_contextual_gemini-1.5-pro-latest_vs_gpt-4o_pt,Empate,user-1759256148510-utx3pkrzl
30/09/2025 15:18:45,CR007_5_Creative_gpt-4o_minimum_vs_contextual_pt,B,user-1759256148510-utx3pkrzl
30/09/2025 15:18:48,CG013_5_General Knowledge_sabia-3.1_minimum_vs_structured_pt,A,user-1759256148510-utx3pkrzl
30/09/2025 15:18:49,TC011_2_Technical_gpt-4o_minimum_vs_structured_pt,B,user-1759256148510-utx3pkrzl
30/09/2025 15:18:54,CR015_1_Creative_contextual_gpt-4o_vs_llama-3.3-70b-versatile_pt,A,user-1759256148510-utx3pkrzl
30/09/2025 15:20:05,CR006_1_Creative_llama-3.3-70b-versatile_detailed_vs_structured_pt,B,user-1759250067024-6ei2inpk3
30/09/2025 15:20:14,TC003_3_Technical_minimum_gemini-1.5-pro-latest_vs_llama-3.3-70b-versatile_pt,B,user-1759256148510-utx3pkrzl
30/09/2025 15:20:19,CG006_1_General Knowledge_gemini-1.5-pro-latest_contextual_vs_detailed_pt,B,user-1759256148510-utx3pkrzl
30/09/2025 15:20:28,CR019_4_Creative_gpt-4o_contextual_vs_structured_pt,B,user-1759256148510-utx3pkrzl
30/09/2025 15:20:34,TC008_4_Technical_structured_gemini-1.5-pro-latest_vs_sabia-3.1_pt,A,user-1759256148510-utx3pkrzl
30/09/2025 15:21:11,CR006_1_Creative_llama-3.3-70b-versatile_detailed_vs_structured_pt,B,user-1759256379361-optw660zh
30/09/2025 15:22:11,CG002_5_General Knowledge_minimum_gemini-1.5-pro-latest_vs_gpt-4o_pt,B,user-1759256475947-3lqur9cte
30/09/2025 15:22:12,TC016_3_Technical_detailed_llama-3.3-70b-versatile_vs_sabia-3.1_pt,B,user-1759256379361-optw660zh
30/09/2025 15:22:44,CG010_3_General Knowledge_sabia-3.1_detailed_vs_structured_pt,B,user-1759256521302-5inns438p
30/09/2025 15:22:53,CG019_3_General Knowledge_minimum_gemini-1.5-pro-latest_vs_sabia-3.1_pt,A,user-1759256521302-5inns438p
30/09/2025 15:22:58,CG002_1_General Knowledge_minimum_gemini-1.5-pro-latest_vs_llama-3.3-70b-versatile_pt,B,user-1759256521302-5inns438p
30/09/2025 15:23:01,CG011_5_General Knowledge_gpt-4o_contextual_vs_structured_pt,B,user-1759256521302-5inns438p
30/09/2025 15:23:07,CG013_5_General Knowledge_sabia-3.1_minimum_vs_structured_pt,A,user-1759256521302-5inns438p
30/09/2025 15:23:10,CG009_2_General Knowledge_sabia-3.1_detailed_vs_structured_pt,A,user-1759256521302-5inns438p
30/09/2025 15:23:11,CR014_4_Creative_detailed_gpt-4o_vs_llama-3.3-70b-versatile_pt,B,user-1759256475947-3lqur9cte
30/09/2025 15:23:13,CG006_1_General Knowledge_gemini-1.5-pro-latest_contextual_vs_detailed_pt,A,user-1759256521302-5inns438p
30/09/2025 15:23:18,CG015_4_General Knowledge_gpt-4o_contextual_vs_structured_pt,B,user-1759256521302-5inns438p
30/09/2025 15:23:38,CR019_4_Creative_gpt-4o_contextual_vs_structured_pt,B,user-1759256521302-5inns438p
30/09/2025 15:23:41,CR010_5_Creative_minimum_gpt-4o_vs_llama-3.3-70b-versatile_pt,B,user-1759256521302-5inns438p
30/09/2025 15:23:41,CR006_2_Creative_llama-3.3-70b-versatile_detailed_vs_structured_pt,B,user-1759256521302-5inns438p
30/09/2025 15:23:46,CR013_4_Creative_gpt-4o_minimum_vs_detailed_pt,B,user-1759256521302-5inns438p
30/09/2025 15:23:47,CR020_4_Creative_detailed_gemini-1.5-pro-latest_vs_gpt-4o_pt,Empate,user-1759256475947-3lqur9cte
30/09/2025 15:23:48,CR014_4_Creative_detailed_gpt-4o_vs_llama-3.3-70b-versatile_pt,A,user-1759256521302-5inns438p
30/09/2025 15:23:49,CR007_5_Creative_gpt-4o_minimum_vs_contextual_pt,A,user-1759256521302-5inns438p
30/09/2025 15:23:50,CR015_3_Creative_gemini-1.5-pro-latest_contextual_vs_structured_pt,A,user-1759256521302-5inns438p
30/09/2025 15:23:54,CR020_4_Creative_detailed_gemini-1.5-pro-latest_vs_gpt-4o_pt,A,user-1759256521302-5inns438p
30/09/2025 15:23:57,CR018_5_Creative_sabia-3.1_minimum_vs_detailed_pt,B,user-1759256521302-5inns438p
30/09/2025 15:23:57,CR005_3_Creative_gpt-4o_minimum_vs_structured_pt,A,user-1759256521302-5inns438p
30/09/2025 15:24:07,CG006_1_General Knowledge_gemini-1.5-pro-latest_contextual_vs_detailed_pt,B,user-1759256503303-30y07rtyx
30/09/2025 15:24:12,CG019_3_General Knowledge_minimum_gemini-1.5-pro-latest_vs_sabia-3.1_pt,A,user-1759256475947-3lqur9cte
30/09/2025 15:24:25,CR014_4_Creative_detailed_gpt-4o_vs_llama-3.3-70b-versatile_pt,A,user-1759250067024-6ei2inpk3
30/09/2025 15:24:33,CG015_4_General Knowledge_gpt-4o_contextual_vs_structured_pt,A,user-1759256642550-jdpd9wqtr
30/09/2025 15:24:40,CG002_1_General Knowledge_minimum_gemini-1.5-pro-latest_vs_llama-3.3-70b-versatile_pt,B,user-1759256642550-jdpd9wqtr
30/09/2025 15:24:42,CG009_2_General Knowledge_sabia-3.1_detailed_vs_structured_pt,A,user-1759256642550-jdpd9wqtr
30/09/2025 15:24:46,CG006_1_General Knowledge_detailed_gemini-1.5-pro-latest_vs_sabia-3.1_pt,A,user-1759256642550-jdpd9wqtr
30/09/2025 15:24:49,TC008_4_Technical_structured_gemini-1.5-pro-latest_vs_sabia-3.1_pt,Empate,user-1759256475947-3lqur9cte
30/09/2025 15:24:52,CG013_5_General Knowledge_sabia-3.1_minimum_vs_structured_pt,A,user-1759256642550-jdpd9wqtr
30/09/2025 15:24:56,CG010_3_General Knowledge_sabia-3.1_detailed_vs_structured_pt,Empate,user-1759256642550-jdpd9wqtr
30/09/2025 15:24:59,CG019_3_General Knowledge_minimum_gemini-1.5-pro-latest_vs_sabia-3.1_pt,A,user-1759256642550-jdpd9wqtr
30/09/2025 15:25:03,CG011_5_General Knowledge_gpt-4o_contextual_vs_structured_pt,B,user-1759256642550-jdpd9wqtr
30/09/2025 15:25:18,TC011_2_Technical_gpt-4o_minimum_vs_structured_pt,A,user-1759256475947-3lqur9cte
30/09/2025 15:25:53,CG006_1_General Knowledge_detailed_gemini-1.5-pro-latest_vs_sabia-3.1_pt,B,user-1759256475947-3lqur9cte
30/09/2025 15:26:09,TC002_1_Technical_contextual_llama-3.3-70b-versatile_vs_sabia-3.1_pt,B,user-1759256475947-3lqur9cte
30/09/2025 15:26:15,CG011_5_General Knowledge_gpt-4o_contextual_vs_structured_pt,A,user-1759256475947-3lqur9cte
30/09/2025 15:26:29,TC015_5_Technical_minimum_gemini-1.5-pro-latest_vs_sabia-3.1_pt,A,user-1759256475947-3lqur9cte
30/09/2025 15:26:45,CR007_5_Creative_gpt-4o_minimum_vs_contextual_pt,A,user-1759256503303-30y07rtyx
30/09/2025 15:28:17,CR018_5_Creative_sabia-3.1_minimum_vs_detailed_pt,A,user-1759250067024-6ei2inpk3
30/09/2025 15:36:10,TC002_1_Technical_gemini-1.5-pro-latest_minimum_vs_detailed_pt,B,user-1759257213865-94o4sjndz
30/09/2025 15:36:33,CG010_3_General Knowledge_sabia-3.1_detailed_vs_structured_pt,A,user-1759257213865-94o4sjndz
30/09/2025 15:37:44,TC005_3_Technical_contextual_gpt-4o_vs_llama-3.3-70b-versatile_pt,B,user-1759257213865-94o4sjndz
30/09/2025 15:37:54,CG015_4_General Knowledge_gpt-4o_contextual_vs_structured_pt,B,user-1759257213865-94o4sjndz
30/09/2025 15:38:27,TC011_2_Technical_gpt-4o_minimum_vs_structured_pt,B,user-1759257213865-94o4sjndz
30/09/2025 15:39:10,TC014_5_Technical_structured_gemini-1.5-pro-latest_vs_sabia-3.1_pt,A,user-1759257213865-94o4sjndz
30/09/2025 15:39:30,TC003_3_Technical_minimum_gemini-1.5-pro-latest_vs_llama-3.3-70b-versatile_pt,A,user-1759257213865-94o4sjndz
30/09/2025 15:40:37,CR006_2_Creative_llama-3.3-70b-versatile_detailed_vs_structured_pt,A,user-1759257213865-94o4sjndz
30/09/2025 15:40:50,TC004_5_Technical_minimum_gemini-1.5-pro-latest_vs_llama-3.3-70b-versatile_pt,A,user-1759257213865-94o4sjndz
30/09/2025 15:41:36,TC013_5_Technical_minimum_gpt-4o_vs_llama-3.3-70b-versatile_pt,B,user-1759257213865-94o4sjndz
30/09/2025 15:47:23,CR015_3_Creative_gemini-1.5-pro-latest_contextual_vs_structured_pt,B,user-1759250067024-6ei2inpk3
30/09/2025 15:51:14,CR006_1_Creative_gemini-1.5-pro-latest_detailed_vs_structured_pt,B,user-1759257825371-89odqzanv
30/09/2025 15:51:39,TC003_3_Technical_minimum_gemini-1.5-pro-latest_vs_llama-3.3-70b-versatile_pt,B,user-1759257825371-89odqzanv
30/09/2025 15:51:44,CG002_5_General Knowledge_minimum_gemini-1.5-pro-latest_vs_gpt-4o_pt,Empate,user-1759257825371-89odqzanv
30/09/2025 15:51:47,TC009_1_Technical_sabia-3.1_contextual_vs_structured_pt,B,user-1759257825371-89odqzanv
30/09/2025 15:51:52,CR015_1_Creative_contextual_gpt-4o_vs_llama-3.3-70b-versatile_pt,B,user-1759257825371-89odqzanv
30/09/2025 15:51:53,CR018_5_Creative_sabia-3.1_minimum_vs_detailed_pt,A,user-1759257825371-89odqzanv
30/09/2025 15:51:55,TC005_3_Technical_gemini-1.5-pro-latest_contextual_vs_detailed_pt,Empate,user-1759257825371-89odqzanv
30/09/2025 15:51:55,CR014_4_Creative_detailed_gpt-4o_vs_llama-3.3-70b-versatile_pt,A,user-1759257825371-89odqzanv
30/09/2025 15:51:57,CG011_5_General Knowledge_gpt-4o_contextual_vs_structured_pt,B,user-1759257825371-89odqzanv
30/09/2025 15:51:57,TC013_5_Technical_minimum_gpt-4o_vs_llama-3.3-70b-versatile_pt,Empate,user-1759257825371-89odqzanv
30/09/2025 15:59:35,CR019_4_Creative_gpt-4o_contextual_vs_structured_pt,A,user-1759250067024-6ei2inpk3
30/09/2025 16:03:59,CR006_4_Creative_gpt-4o_contextual_vs_detailed_pt,B,user-1759258804943-js458qebb
30/09/2025 16:04:18,TC009_1_Technical_sabia-3.1_contextual_vs_structured_pt,B,user-1759258804943-js458qebb
30/09/2025 16:04:28,CR015_3_Creative_gemini-1.5-pro-latest_contextual_vs_structured_pt,B,user-1759258914855-w9j3nekb3
30/09/2025 16:04:49,CR015_1_Creative_contextual_gpt-4o_vs_llama-3.3-70b-versatile_pt,A,user-1759258804943-js458qebb
30/09/2025 16:05:13,TC015_5_Technical_minimum_gemini-1.5-pro-latest_vs_sabia-3.1_pt,B,user-1759258804943-js458qebb
30/09/2025 16:05:20,CR018_5_Creative_sabia-3.1_minimum_vs_detailed_pt,B,user-1759258914855-w9j3nekb3
30/09/2025 16:05:28,CR005_3_Creative_gpt-4o_minimum_vs_structured_pt,A,user-1759258804943-js458qebb
30/09/2025 16:05:49,TC004_5_Technical_minimum_gemini-1.5-pro-latest_vs_llama-3.3-70b-versatile_pt,A,user-1759258804943-js458qebb
30/09/2025 16:06:00,TC013_4_Technical_contextual_gemini-1.5-pro-latest_vs_gpt-4o_pt,A,user-1759258804943-js458qebb
30/09/2025 16:06:23,CR010_5_Creative_minimum_gpt-4o_vs_llama-3.3-70b-versatile_pt,B,user-1759258914855-w9j3nekb3
30/09/2025 16:07:18,CR020_4_Creative_detailed_gemini-1.5-pro-latest_vs_gpt-4o_pt,A,user-1759258804943-js458qebb
30/09/2025 16:07:53,TC014_5_Technical_structured_gemini-1.5-pro-latest_vs_sabia-3.1_pt,A,user-1759258804943-js458qebb
30/09/2025 16:09:22,CG002_5_General Knowledge_minimum_gemini-1.5-pro-latest_vs_gpt-4o_pt,B,user-1759258804943-js458qebb
30/09/2025 16:13:14,CG009_2_General Knowledge_sabia-3.1_detailed_vs_structured_pt,B,user-1759259493159-sfn5i0hgn
30/09/2025 16:14:38,CR015_3_Creative_gemini-1.5-pro-latest_contextual_vs_structured_pt,B,user-1759259472581-6yvh8redg
30/09/2025 16:14:49,CR020_4_Creative_detailed_gemini-1.5-pro-latest_vs_gpt-4o_pt,A,user-1759250067024-6ei2inpk3
30/09/2025 16:17:06,CR005_3_Creative_gpt-4o_minimum_vs_structured_pt,A,user-1759250067024-6ei2inpk3
30/09/2025 16:18:30,CR005_3_Creative_gpt-4o_minimum_vs_structured_pt,A,user-1759259472581-6yvh8redg
30/09/2025 16:18:48,CR019_4_Creative_gpt-4o_contextual_vs_structured_pt,A,user-1759259472581-6yvh8redg
30/09/2025 16:27:51,CR013_4_Creative_gpt-4o_minimum_vs_detailed_pt,A,user-1759260266449-odnikpeb9
30/09/2025 16:28:51,CR018_5_Creative_sabia-3.1_minimum_vs_detailed_pt,B,user-1759260266449-odnikpeb9
30/09/2025 16:29:40,CR019_4_Creative_gpt-4o_contextual_vs_structured_pt,A,user-1759260266449-odnikpeb9
30/09/2025 16:30:30,CR010_5_Creative_minimum_gpt-4o_vs_llama-3.3-70b-versatile_pt,B,user-1759260266449-odnikpeb9
30/09/2025 16:32:07,CG006_1_General Knowledge_detailed_gemini-1.5-pro-latest_vs_sabia-3.1_pt,A,user-1759260266449-odnikpeb9
30/09/2025 16:34:55,TC015_5_Technical_minimum_gemini-1.5-pro-latest_vs_sabia-3.1_pt,B,user-1759260625231-e80cqfe7d
30/09/2025 16:36:47,TC013_4_Technical_contextual_gemini-1.5-pro-latest_vs_gpt-4o_pt,A,user-1759260625231-e80cqfe7d
30/09/2025 16:38:06,TC014_5_Technical_structured_gemini-1.5-pro-latest_vs_sabia-3.1_pt,A,user-1759260625231-e80cqfe7d
30/09/2025 16:39:22,TC002_1_Technical_contextual_llama-3.3-70b-versatile_vs_sabia-3.1_pt,A,user-1759260625231-e80cqfe7d
30/09/2025 16:41:16,CR015_1_Creative_contextual_gpt-4o_vs_llama-3.3-70b-versatile_pt,B,user-1759260625231-e80cqfe7d
30/09/2025 16:43:15,CG013_5_General Knowledge_sabia-3.1_minimum_vs_structured_pt,Empate,user-1759261262304-tjn05wv0z
30/09/2025 17:03:14,CR005_3_Creative_gpt-4o_minimum_vs_structured_pt,A,user-1759262439274-u50l4q8xw
30/09/2025 17:05:12,CR019_4_Creative_gpt-4o_contextual_vs_structured_pt,A,user-1759262439274-u50l4q8xw
30/09/2025 17:07:06,CR006_4_Creative_gpt-4o_contextual_vs_detailed_pt,B,user-1759262439274-u50l4q8xw
30/09/2025 17:07:36,CR015_3_Creative_gemini-1.5-pro-latest_contextual_vs_structured_pt,B,user-1759261170051-s995rtygw
30/09/2025 17:07:44,CR019_4_Creative_gpt-4o_contextual_vs_structured_pt,A,user-1759261170051-s995rtygw
30/09/2025 17:08:21,CR007_5_Creative_gpt-4o_minimum_vs_contextual_pt,Empate,user-1759261170051-s995rtygw
30/09/2025 17:08:42,CR006_1_Creative_gemini-1.5-pro-latest_detailed_vs_structured_pt,B,user-1759261170051-s995rtygw
30/09/2025 17:08:54,CR005_3_Creative_gpt-4o_minimum_vs_structured_pt,B,user-1759261170051-s995rtygw
30/09/2025 17:09:03,CR015_3_Creative_gemini-1.5-pro-latest_contextual_vs_structured_pt,A,user-1759262439274-u50l4q8xw
30/09/2025 17:09:26,TC013_gpt-4o_5_Technical_detailed_en_vs_pt,B,user-1759262744663-ayakzv4ud
30/09/2025 17:11:28,CR020_4_Creative_detailed_gemini-1.5-pro-latest_vs_gpt-4o_pt,Empate,user-1759262439274-u50l4q8xw
30/09/2025 17:13:19,TC016_3_Technical_detailed_llama-3.3-70b-versatile_vs_sabia-3.1_pt,B,user-1759262744663-ayakzv4ud
30/09/2025 17:16:42,TC012_gpt-4o_1_Technical_contextual_en_vs_pt,B,user-1759262744663-ayakzv4ud
30/09/2025 17:23:12,CR019_4_Creative_gpt-4o_contextual_vs_structured_pt,B,user-1759263297474-6jdwvma4e
30/09/2025 17:25:00,CR018_5_Creative_sabia-3.1_minimum_vs_detailed_pt,Empate,user-1759263297474-6jdwvma4e
30/09/2025 17:30:42,TC014_5_Technical_structured_gemini-1.5-pro-latest_vs_sabia-3.1_pt,B,user-1759264100295-2iyok5yjl
30/09/2025 17:31:49,TC004_5_Technical_minimum_gemini-1.5-pro-latest_vs_llama-3.3-70b-versatile_pt,B,user-1759264100295-2iyok5yjl
30/09/2025 17:45:12,TC008_3_Technical_gpt-4o_contextual_vs_detailed_pt,Empate,user-1759264975901-8dkq77yxk
30/09/2025 17:45:15,TC002_1_Technical_contextual_llama-3.3-70b-versatile_vs_sabia-3.1_pt,A,user-1759264975901-8dkq77yxk
30/09/2025 17:45:20,TC011_2_Technical_gpt-4o_minimum_vs_structured_pt,B,user-1759264975901-8dkq77yxk
30/09/2025 17:45:23,TC013_5_Technical_minimum_gpt-4o_vs_llama-3.3-70b-versatile_pt,A,user-1759264975901-8dkq77yxk
30/09/2025 17:45:27,TC009_1_Technical_sabia-3.1_contextual_vs_structured_pt,B,user-1759264975901-8dkq77yxk
30/09/2025 18:18:24,CR019_4_Creative_gpt-4o_contextual_vs_structured_pt,A,user-1759260051038-yynf3m574
30/09/2025 18:27:21,CR020_4_Creative_detailed_gemini-1.5-pro-latest_vs_gpt-4o_pt,A,user-1759260051038-yynf3m574
30/09/2025 18:27:23,TC016_5_Technical_gpt-4o_minimum_vs_contextual_en,B,user-1759172933100-gj9oyyc0l
30/09/2025 18:32:59,CG009_gemini-1.5-pro-latest_2_General Knowledge_contextual_en_vs_pt,Empate,user-1759172933100-gj9oyyc0l
30/09/2025 18:34:28,CR014_4_Creative_detailed_gpt-4o_vs_llama-3.3-70b-versatile_pt,A,user-1759260051038-yynf3m574
30/09/2025 18:41:52,CG002_5_General Knowledge_minimum_gemini-1.5-pro-latest_vs_gpt-4o_pt,A,user-1759260051038-yynf3m574
30/09/2025 18:50:45,CR006_4_Creative_gpt-4o_contextual_vs_detailed_pt,A,user-1759260051038-yynf3m574
30/09/2025 19:30:17,CR020_4_Creative_detailed_gemini-1.5-pro-latest_vs_gpt-4o_pt,B,user-1759271178611-z8g10gqhr
30/09/2025 19:32:22,CR015_3_Creative_gemini-1.5-pro-latest_contextual_vs_structured_pt,B,user-1759271178611-z8g10gqhr
30/09/2025 19:35:08,CR005_3_Creative_gpt-4o_minimum_vs_structured_pt,B,user-1759271178611-z8g10gqhr
30/09/2025 19:35:57,CG006_1_General Knowledge_detailed_gemini-1.5-pro-latest_vs_sabia-3.1_pt,B,user-1759271684265-j338fduss
30/09/2025 19:36:13,CR010_5_Creative_minimum_gpt-4o_vs_llama-3.3-70b-versatile_pt,A,user-1759271684265-j338fduss
30/09/2025 19:36:17,CR015_1_Creative_contextual_gpt-4o_vs_llama-3.3-70b-versatile_pt,A,user-1759271684265-j338fduss
30/09/2025 19:36:28,CR018_5_Creative_sabia-3.1_minimum_vs_detailed_pt,B,user-1759271684265-j338fduss
30/09/2025 19:36:31,CR007_5_Creative_gpt-4o_minimum_vs_contextual_pt,Empate,user-1759271684265-j338fduss
30/09/2025 19:37:19,CR006_2_Creative_llama-3.3-70b-versatile_detailed_vs_structured_pt,A,user-1759271661222-t1nxu8abp
30/09/2025 19:37:41,CR014_4_Creative_detailed_gpt-4o_vs_llama-3.3-70b-versatile_pt,B,user-1759271178611-z8g10gqhr
30/09/2025 19:38:31,CR005_3_Creative_gpt-4o_minimum_vs_structured_pt,B,user-1759271661222-t1nxu8abp
30/09/2025 19:38:43,CG019_sabia-3.1_5_General Knowledge_contextual_en_vs_pt,A,user-1759262894360-b7mpqgmbl
30/09/2025 19:39:21,CR006_1_Creative_llama-3.3-70b-versatile_detailed_vs_structured_pt,A,user-1759271178611-z8g10gqhr
30/09/2025 19:39:33,CG004_sabia-3.1_5_General Knowledge_detailed_en_vs_pt,A,user-1759262894360-b7mpqgmbl
30/09/2025 19:39:36,CR010_5_Creative_minimum_gpt-4o_vs_llama-3.3-70b-versatile_pt,A,user-1759271661222-t1nxu8abp
30/09/2025 19:40:12,CR006_1_Creative_gemini-1.5-pro-latest_detailed_vs_structured_pt,B,user-1759271937453-7068k6lgf
30/09/2025 19:40:47,CR010_5_Creative_minimum_gpt-4o_vs_llama-3.3-70b-versatile_pt,B,user-1759271937453-7068k6lgf
30/09/2025 19:41:10,CR007_5_Creative_gpt-4o_minimum_vs_contextual_pt,B,user-1759271937453-7068k6lgf
30/09/2025 19:41:22,CR020_4_Creative_detailed_gemini-1.5-pro-latest_vs_gpt-4o_pt,B,user-1759271937453-7068k6lgf
30/09/2025 19:41:25,CR015_1_Creative_contextual_gpt-4o_vs_llama-3.3-70b-versatile_pt,A,user-1759271661222-t1nxu8abp
30/09/2025 19:41:32,CR005_3_Creative_gpt-4o_minimum_vs_structured_pt,B,user-1759271937453-7068k6lgf
30/09/2025 19:42:30,CR020_1_Creative_minimum_gemini-1.5-pro-latest_vs_gpt-4o_en,A,user-1759262894360-b7mpqgmbl
30/09/2025 19:43:34,TC012_gpt-4o_1_Technical_contextual_en_vs_pt,B,user-1759262894360-b7mpqgmbl
30/09/2025 19:44:06,TC005_3_Technical_gemini-1.5-pro-latest_contextual_vs_detailed_pt,B,user-1759272099995-w2r1yifqq
30/09/2025 19:44:07,CR014_4_Creative_detailed_gpt-4o_vs_llama-3.3-70b-versatile_pt,B,user-1759271661222-t1nxu8abp
30/09/2025 19:44:18,TC015_sabia-3.1_2_Technical_structured_en_vs_pt,B,user-1759262894360-b7mpqgmbl
30/09/2025 19:45:32,TC016_3_Technical_detailed_llama-3.3-70b-versatile_vs_sabia-3.1_pt,A,user-1759272275531-v2h3ndjfp
30/09/2025 19:45:42,TC005_2_Technical_llama-3.3-70b-versatile_minimum_vs_detailed_pt,A,user-1759272275531-v2h3ndjfp
30/09/2025 19:46:05,TC014_5_Technical_structured_gemini-1.5-pro-latest_vs_sabia-3.1_pt,B,user-1759272275531-v2h3ndjfp
30/09/2025 19:46:09,CR015_1_Creative_contextual_gpt-4o_vs_llama-3.3-70b-versatile_pt,A,user-1759272099995-w2r1yifqq
